species_binomial,by_spec_grav,family,genus,species,species_abbr,wd_avg,all_names
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,tendre ii cailloux
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,savann
acacia senegal,,Fabaceae,Acacia,senegal,senegal,,acacia du senegal
acacia senegal,,Fabaceae,Acacia,senegal,senegal,,gommier
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,zakasya nwa
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,zakasya wouj
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,zakasya
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia noir
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia rouge
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,bayahonde rouge
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia tordu
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia 
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,akasee
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,bayawonn wouj
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,hobaba
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,hobada
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,wabi
acacia vogeliana,,Fabaceae,Acacia,vogeliana,vogeliana,,tcha-tcha marron
acacia vogeliana,,Fabaceae,Acacia,vogeliana,vogeliana,,tcha tcha mawon
acnistus arborescens,,Solanaceae,Acnistus,arborescens,arborescens,,beladonn
acnistus arborescens,,Solanaceae,Acnistus,arborescens,arborescens,,fey doule
acnistus arborescens,,Solanaceae,Acnistus,arborescens,arborescens,,belladone
