species_binomial,by_spec_grav,family,genus,species_extd,species,wd_avg,all_names
simarouba berteroana,,Simaroubaceae,Simarouba,berteroana,berteroana,,frene
simarouba glauca dc. var. latifolia,,Simaroubaceae,Simarouba,glauca dc. var. latifolia,glauca,,fwenn
simarouba glauca dc. var. latifolia,,Simaroubaceae,Simarouba,glauca dc. var. latifolia,glauca,,bois blanc
simarouba glauca dc. var. latifolia,,Simaroubaceae,Simarouba,glauca dc. var. latifolia,glauca,,frene
simarouba spp. ,0.34-0.41,Simaroubaceae,Simarouba,spp. ,,0.375,fwenn
simarouba spp. ,0.34-0.41,Simaroubaceae,Simarouba,spp. ,,0.375,bois blanc
sloanea amygdalina,,Elaeocarpaceae,Sloanea,amygdalina,amygdalina,,koma
sloanea amygdalina,,Elaeocarpaceae,Sloanea,amygdalina,amygdalina,,akoma
spondias mombin,0.26-0.4,Anacardiaceae,Spondias,mombin,mombin,0.33,monben
spondias mombin,0.26-0.4,Anacardiaceae,Spondias,mombin,mombin,0.33,mombin
spondias purpurea,,Anacardiaceae,Spondias,purpurea,purpurea,,siwel
sterculia apetala,0.26-0.4,Malvaceae,Sterculia,apetala,apetala,0.33,pistach
swietenia mahagoni,0.57-0.8,Meliaceae,Swietenia,mahagoni,mahagoni,0.685,acajou
tabebuia acrophylla,,Bignoniaceae,Tabebuia,acrophylla,acrophylla,,bwa savann
tabebuia acrophylla,,Bignoniaceae,Tabebuia,acrophylla,acrophylla,,savann
tabebuia berteri,,Bignoniaceae,Tabebuia,berteri,berteri,,bwa satsi
tabernaemontana citrifolia,,Apocynaceae,Tabernaemontana,citrifolia,citrifolia,,bois lait
tamarindus indica,0.8-0.9,Fabaceae,Tamarindus,indica,indica,0.8500000000000001,tamarenn
terminalia catappa,0.45-0.58,Combretaceae,Terminalia,catappa,catappa,0.515,zamann
terminalia catappa,0.45-0.58,Combretaceae,Terminalia,catappa,catappa,0.515,amande
thrinax morrisii,,Arecaceae,Thrinax,morrisii,morrisii,,lame
thrinax radiata,,Arecaceae,Thrinax,radiata,radiata,,lame
trichilia havanensis,,Meliaceae,Trichilia,havanensis,havanensis,,bois loraille
trichilia pallida,,Meliaceae,Trichilia,pallida,pallida,,twa pawol
vitex heptaphylla,,Verbenaceae,Vitex,heptaphylla,heptaphylla,,bwa savann
vitex heptaphylla,,Verbenaceae,Vitex,heptaphylla,heptaphylla,,savann
vitex spp.,,Verbenaceae,Vitex,spp.,,,bwa savann
vitex spp.,,Verbenaceae,Vitex,spp.,,,savann
ardisia domingensis,,Myrsinaceae,Ardisia,domingensis,domingensis,,risin
zanthoxylum spp.,,Rutaceae,Zanthoxylum,spp.,,,bwa pini
zombia antillarum,,Arecaceae,Zombia,antillarum,antillarum,,latanye
