sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,mean_BYfm,sd_BYfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm
kas,5.5,13.0,0.002375829444277281,33,Rantnovi.shp,0.31140300000000004,,,,,0.7454347826086957,0.14318545700878368,0.616,0.0708232617216773,0.7358277777777779,0.0941339098036177,0.7358277777777779,0.0941339098036177,0.616,0.0708232617216773
sikren,8.3,,0.005410607947645022,33,Rantnovi.shp,0.31140300000000004,0.6599999999999999,,0.6599999999999999,,0.7454347826086957,0.14318545700878368,0.66,0.0708232617216773,0.5800848238482379,0.0941339098036177,0.5800848238482379,0.0941339098036177,0.578086944444444,0.0941339098036177
bwa pine,6.8,,0.0036316811075498014,33,Rantnovi.shp,0.31140300000000004,0.7675000000000001,,0.7675000000000001,0.010606601717798262,0.8283333333333335,0.1056330125166055,0.77125,0.0708232617216773,0.622329737466834,0.0941339098036177,0.622329737466834,0.0941339098036177,0.7001203643578644,0.0824785857626475
rabi,10.5,,0.008659014751456867,33,Rantnovi.shp,0.31140300000000004,0.33,,0.33,,0.39,0.08485281374238571,0.3673333333333329,0.0708232617216773,0.3736666666666671,0.0941339098036177,0.3736666666666671,0.0941339098036177,0.3673333333333329,0.0708232617216773
mango,6.0,,0.0028274333882308137,33,Rantnovi.shp,0.31140300000000004,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
kas,12.0,,0.011309733552923256,33,Rantnovi.shp,0.31140300000000004,,,,,0.7454347826086957,0.14318545700878368,0.616,0.0708232617216773,0.7358277777777779,0.0941339098036177,0.7358277777777779,0.0941339098036177,0.616,0.0708232617216773
kaliptis,5.5,6.0,0.002375829444277281,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
mango,11.8,6.0,0.010935884027146072,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
mango,9.2,,0.0066476100549960025,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
kaliptis,5.0,,0.0019634954084936213,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
kaliptis,6.8,,0.0036316811075498014,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
kaliptis,9.5,,0.00708821842466197,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
kaliptis,7.5,,0.004417864669110647,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
mango,13.5,,0.014313881527918498,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
