all_names,sd_sp,med_sp,mean_sp,sd_gn,med_gn,mean_gn,sd_fm,med_fm,mean_fm
cahciman-montagne,,0.5,0.4805487873846154,,0.5,0.4805487873846154,,0.595,0.5772333305037176
caiman,,0.72,0.7150626092794117,,0.72,0.7150626092794117,0.4097523466825996,0.6875,0.6980207277713621
caiman franc,,0.6950000000000001,0.6950000000000001,,0.6950000000000001,0.6950000000000001,,0.63125,0.643271923076923
caimite,,0.7887500000000001,0.7887500000000001,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimite des jardins,,0.6775,0.6775,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimite franche,,0.6775,0.6775,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimite marron,,0.9,0.9,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimite sauvage,,0.9,0.9,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimitier,,0.6775,0.6775,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimitier a feuilles d'or,,0.6775,0.6775,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimitier ferrugineux,,0.9,0.9,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimitier marron,,0.9,0.9,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
caimitier olivaire,,0.9,0.9,,0.722875,0.7274646214629631,,0.7689999999999999,0.7471137938687258
cajou sovaj,,0.7050000000000001,0.7050000000000001,,0.7275,0.707446590909091,,0.70375,0.6829172864166668
cale basse marron,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
calebasse,,0.641957375,0.641957375,,0.675,0.65463825,,0.61,0.6321763141073171
calebasse batard,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
calebasse marron,,0.675,0.65463825,,0.675,0.65463825,,0.61,0.6321763141073171
calebasse marronne,,0.641957375,0.641957375,,0.675,0.65463825,,0.61,0.6321763141073171
calebasse zombie,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
calebasse-zombi,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
calebassier,,0.641957375,0.641957375,,0.68625,0.66263600325,,0.61,0.6321763141073171
calle noire,,0.7725,0.779145,,0.7725,0.779145,,0.72875,0.7256272089895286
calliandra,,0.58,0.58,,0.85,0.8160000000000001,0.4097523466825996,0.6875,0.6980207277713621
calliandre,,0.58,0.58,,0.85,0.8160000000000001,0.4097523466825996,0.6875,0.6980207277713621
calmouc,,0.74,0.74,,0.74,0.74,,0.69566683325,0.7006143557761193
cambron,,0.8325,0.8325,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
came-marie,,0.57,0.5890573333333332,,0.515,0.5178173127468355,,0.63,0.6552249557539684
camille,,0.95,0.95,,0.95,0.95,,0.8193999999999999,0.8431333333333333
campech,,0.86,0.86,,0.8624999999999999,0.8517857142857143,0.4097523466825996,0.6875,0.6980207277713621
campeche,,0.86,0.86,,0.8624999999999999,0.8517857142857143,0.4097523466825996,0.6875,0.6980207277713621
campeche ,,0.8574999999999999,0.8394999999999999,,0.8624999999999999,0.8517857142857143,0.4097523466825996,0.6875,0.6980207277713621
campeche marron,,0.8151299999999999,0.8371266666666666,,0.6,0.6680866666666665,0.4097523466825996,0.6875,0.6980207277713621
campechier,,0.8574999999999999,0.8394999999999999,,0.8624999999999999,0.8517857142857143,0.4097523466825996,0.6875,0.6980207277713621
camphre,,0.460635,0.4874029999999999,,0.4845256665,0.4827179655952381,,0.53125,0.5495792673435416
camphrier,,0.460635,0.4874029999999999,,0.4845256665,0.4827179655952381,,0.53125,0.5495792673435416
canape,,0.98,0.98,,0.98,0.98,,0.695,0.6640156033920452
candelabre,,0.46608,0.47053999999999996,,0.46608,0.47053999999999996,,0.48107999999999995,0.5455080724271253
candelon,,0.91,0.91,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
