all_names,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,med_BYgn,mean_BYfm,sd_BYfm,mean_BYgnfm,sd_BYgnfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm,mean_GWDgnfm,sd_GWDgnfm,mean_GWDBYgnfm_CAT,sd_GWDBYgnfm_CAT
dalmarie,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dalnagre,,,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
damag,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
damage,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
damari,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dame marie,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dan chen blan,,,0.5905128205128206,0.10049741337202135,0.6,0.5905128205128206,0.10049741337202135,0.5905128205128206,0.10049741337202135,0.544971109123435,0.0941339098036177,0.544971109123435,0.0941339098036177,0.544971109123435,0.0941339098036177,0.542470421245421,0.0941339098036177,0.542470421245421,0.0941339098036177,0.5243333333333329,0.0941339098036177
dartier,,,0.7072727272727273,0.004670993664969154,0.71,,,0.7072727272727273,0.004670993664969154,,,,,,,,,,,,
dartres,,,0.7072727272727273,0.004670993664969154,0.71,,,0.7072727272727273,0.004670993664969154,,,,,,,,,,,,
dat,,,,,,,,,,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.635395299886149,0.177051014041834,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.37042857142857105,0.12340172424716199
datte,,,,,,,,,,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.635395299886149,0.177051014041834,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.37042857142857105,0.12340172424716199
dattier,,,,,,,,,,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.635395299886149,0.177051014041834,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.37042857142857105,0.12340172424716199
de jimel,,,,,,0.7498630136986298,0.15103915116740885,0.7498630136986298,0.15103915116740885,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.662793604651163,0.12340172424716199
de sezon,,,,,,0.4692857142857139,0.18047268383439533,0.4692857142857139,0.18047268383439533,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.5315763888888889,0.12340172424716199
dehom,,,,,,0.4692857142857139,0.18047268383439533,0.4692857142857139,0.18047268383439533,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.5315763888888889,0.12340172424716199
dehomme,,,,,,0.4692857142857139,0.18047268383439533,0.4692857142857139,0.18047268383439533,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.5315763888888889,0.12340172424716199
delen,0.6999999999999998,0.0,0.6884210526315787,0.023036964956043172,0.7,0.7498630136986298,0.15103915116740885,0.6884210526315787,0.023036964956043172,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.678666666666667,0.0941339098036177,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.76,0.0941339098036177
