"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Fabaceae","Peltophorum","berteroanum",0.5913,0.0941339098036177,"genus",6
"Fabaceae","Peltophorum","pterocarpum",0.565,0.0708232617216773,"species",2
"Euphorbiaceae","Pera","glomerata",0.543103218248876,0.123401724247162,"family",72
"Lauraceae","Persea","anomala",0.514030303030303,0.0941339098036177,"genus",22
"Fabaceae","Pethecellobium","lentiscifolium",0.703821065511102,0.123401724247162,"family",207
"Arecaceae","Phoenix","canariensis",0.551760416666667,0.123401724247162,"family",16
"Euphorbiaceae","Phyllanthus","juglandifolius",0.543103218248876,0.123401724247162,"family",72
"Simaroubaceae","Picramnia","antidesma",0.433019603174603,0.123401724247162,"family",7
"Euphorbiaceae","Picrodendron","baccatum",0.543103218248876,0.123401724247162,"family",72
"Fabaceae","Pictetia","obcordata",0.8,0.0941339098036177,"genus",1
"Rutaceae","Pilocarpus","racemosus",0.717027730128668,0.123401724247162,"family",48
"Myrtaceae","Pimenta","dioica",0.96,0.0708232617216773,"species",1
"Myrtaceae","Pimenta","racemosa var grisea",0.9275,0.0941339098036177,"genus",4
"Myrtaceae","Pimenta","racemosa var racemosa",0.9275,0.0941339098036177,"genus",4
"Myrtaceae","Pimenta","terebinthina",0.9275,0.0941339098036177,"genus",4
"Piperaceae","Piper","amalago",0.3935,0.0941339098036177,"genus",2
"Piperaceae","Piper","tuberculatum",0.3935,0.0941339098036177,"genus",2
"Fabaceae","Piscidia","piscipula",0.72,0.0941339098036177,"genus",2
"Nyctaginaceae","Pisonia","aculeata",0.377222222222222,0.0941339098036177,"genus",3
"Nyctaginaceae","Pisonia","albida",0.377222222222222,0.0941339098036177,"genus",3
"Nyctaginaceae","Pisonia","helleri",0.377222222222222,0.0941339098036177,"genus",3
"Nyctaginaceae","Pisonia","rotundata",0.377222222222222,0.0941339098036177,"genus",3
"Fabaceae","Pithecellobium","abbottii",0.502261904761905,0.0941339098036177,"genus",9
"Fabaceae","Pithecellobium","dulce",0.6835,0.0708232617216773,"species",6
"Fabaceae","Pithecellobium","glaucum",0.502261904761905,0.0941339098036177,"genus",9
"Fabaceae","Pithecellobium","unguis-cati",0.502261904761905,0.0941339098036177,"genus",9
"Canellaceae","Pleodendron","spp.",0.736333333333333,0.123401724247162,"family",3
"Apocynaceae","Plumeria","alba",0.8,0.0708232617216773,"species",1
"Apocynaceae","Plumeria","obtusa",0.65,0.0941339098036177,"genus",2
"Apocynaceae","Plumeria","obtusa x p. subsessilis",0.65,0.0941339098036177,"genus",2
"Apocynaceae","Plumeria","rubra",0.5,0.0708232617216773,"species",1
"Apocynaceae","Plumeria","rubra x p. subsessilis",0.65,0.0941339098036177,"genus",2
"Apocynaceae","Plumeria","stenopetala",0.65,0.0941339098036177,"genus",2
"Apocynaceae","Plumeria","subsessilis",0.65,0.0941339098036177,"genus",2
"Apocynaceae","Plumeria","tuberculata",0.65,0.0941339098036177,"genus",2
"Podocarpaceae","Podocarpus","angustifolius",0.48448536036036,0.0941339098036177,"genus",37
"Polygalaceae","Polygala","penaea",0.708076923076923,0.123401724247162,"family",1
"Araliaceae","Polyscias","balfouriana",0.381364583333333,0.0941339098036177,"genus",8
"Araliaceae","Polyscias","filicifolia",0.381364583333333,0.0941339098036177,"genus",8
"Araliaceae","Polyscias","guilfoylei",0.381364583333333,0.0941339098036177,"genus",8
"Araliaceae","Polyscias","pinnata",0.381364583333333,0.0941339098036177,"genus",8
"Sapotaceae","Pouteria","domingensis",0.687841171749599,0.0941339098036177,"genus",89
"Sapotaceae","Pouteria","multiflora",0.77,0.0708232617216773,"species",2
"Arecaceae","Prestoea","acuminata",0.25,0.0941339098036177,"genus",1
"Rosaceae","Prunus","americana",0.585666666666667,0.0941339098036177,"genus",27
"Rosaceae","Prunus","domestica",0.585666666666667,0.0941339098036177,"genus",27
"Rosaceae","Prunus","persica",0.585666666666667,0.0941339098036177,"genus",27
"Fabaceae","Pseudalbizzia","berteriana",0.703821065511102,0.123401724247162,"family",207
"Myrtaceae","Pseudanamomis","umbellulifera",0.765578145976224,0.123401724247162,"family",54
